bn_word,en_word,normalised_bn,pos,ipa_pron,roman_pron,bn_definition,bn_synonyms,en_synonyms,bn_antonyms,usage_sentences
করাত,saw,করাত,,sô,Karāta,,করাত দিয়া|চিরা|ধাতু চেরবার বা লোহাকাটা করাত|করাত|প্রবাদবাক্য|ক্রকচ|করপত্র|পত্রদারক|প্রবচন|ডাকের বচন,saying|maxim|proverb|aphorism|axiom|adage|epigram,,"Since you cannot score and crack it like ceramic tiles, your best bet is to rent a wet <b>saw</b> .|Most tile stores sell grout <b>saws</b> , an inexpensive tool with a wooden or plastic handle and a tip covered with carbide grit."
কাণ্ডজ্ঞান,savvy,কাণ্ডজ্ঞান,,ˈsavē,Kāṇḍajñāna,,মগজে ঢোকা বোঝা|কাণ্ডজ্ঞান|উপলব্ধি|সাধারণ জ্ঞান,shrewd|astute|sharp-witted|sharp|acute|adroit|intelligent|clever|canny|perceptive|perspicacious|sagacious|sage|wise|on the ball|quick on the uptake|smart|streetwise|heads-up|grasp|grok|dig|comprehend|apprehend|get the picture|compass|shrewdness|astuteness|sharp-wittedness|sharpness|acuteness|acumen|acuity|intelligence|wit|canniness|common sense|discernment|insight|understanding|penetration|perception|perceptiveness|perspicacity|knowledge|sagacity|horse sense|know-how|(street) smarts|sapience,,"The perioperative environment is becoming more complex, and its leaders need to possess some business <b>savvy</b> and be clinically astute.|It was the endgame that I wasn't <b>savvy</b> enough to win."
মসলাদার,savory,মসলাদার,,ˈsāv(ə)rē,Masalādāra,,সুস্বাদু|সুতার|মসলাদার|সুগন্ধ|স্বাদু|রসাল|অকটু|নোনতা,salty|spicy|piquant|tangy,,"In general, most of the salt we consume is not added during cooking or at the table, but comes from processed foods such as bread, cheese, <b>savoury</b> snacks, breakfast cereals and ready-meals.|Thanks to a tart shallot vinaigrette, bitterish field greens and red onion, the overall effect is <b>savory</b> rather than sweet."
স্বাদ,savor,স্বাদ,,ˈsāvər,Sbāda,,আস্বাদন করা|নির্দিষ্ট স্বাদযুক্ত হত্তয়া|নির্দিষ্ট গন্ধযুক্ত হত্তয়া|স্বাদুগন্ধযুক্ত হত্তয়া|উপস্থিতির ইঙ্গিত দেত্তয়া|গন্ধযুক্ত করান|ঘ্রাণ লত্তয়া|উপলব্ধি করা|গন্ধ|সুস্বাদ|স্বাদ|তীব্র গন্ধ|স্বাদুগন্ধ|রস|তার,relish|enjoy (to the full)|appreciate|delight in|revel in|luxuriate in|bask in|smell|aroma|fragrance|scent|perfume|bouquet|taste|flavor|tang|smack,,"I was meant to be <b>savouring</b> the last moments of my precious long weekend, but instead I find myself wishing that time would fast forward itself and just let me go to school.|As he wanted to stay a moment and <b>savour</b> the scene, he leaned against the thick trunk of the sturdy oak behind him."
ত্রাণকর্তা,savior,ত্রাণকর্তা,,ˈsāvyər,Trāṇakartā,,রক্ষাকর্তা|ত্রাণকর্তা|উদ্ধারক,rescuer|liberator|deliverer|emancipator|champion|knight in shining armor|friend in need|good Samaritan,,"Their stories are narrated with sharp adroitness and lessons are drawn that apply to our modern-day craving for supermen and <b>saviours</b> .|Well, there's one thing: rock and roll doesn't need <b>saviours</b> as much as it needs a good set of bodyguards."
ত্রাণকর্তা,Savior,ত্রাণকর্তা,,,Trāṇakartā,,খ্রীষ্ট,rescuer|liberator|deliverer|emancipator|champion|knight in shining armor|friend in need|good Samaritan,,
সঞ্চয় ব্যাংক,savings bank,সঞ্চয় ব্যাংক,,,Sañcaẏa byāṅka,,সঞ্চয় ব্যাংক,bank|money box,,"Catholics established their own <b>savings banks</b> and cooperatives, for instance, and confessional unions were established in many factories to keep Catholic workers from falling into the hands of socialist organizers and trade unions.|Depositors flocked to the guaranteed state <b>savings banks</b> after the crash."
সঞ্চয় ও ঋণ,savings and loan,সঞ্চয় ও ঋণ,,,Sañcaẏa ō r̥ṇa,,,savings and loan association,,<b>savings and loan</b> associations|Credit unions provide <b>savings and loans</b> facilities to many people who might otherwise be excluded from financial services because of the red-lining practices of the big institutions.
সঞ্চয় অ্যাকাউন্ট,savings account,সঞ্চয় অ্যাকাউন্ট,,,Sañcaẏa ayākā'unṭa,,সঞ্চয় অ্যাকাউন্ট,,,"Hundreds of thousands of people have failed to claim their free shares or cash, so it's worth checking to see if you have any dormant <b>savings accounts</b> or life policies.|Millions of us have our nest eggs in taxed <b>savings accounts</b> that pay well below the going rate of interest."
সঞ্চয়,savings,সঞ্চয়,,,Sañcaẏa,,পুঁজি|জমা|সঁচয়,reduction|cut|decrease|economy|nest egg,,he has <b>savings</b> in the bank
রক্ষা,saving,রক্ষা,,ˈsāviNG,Rakṣā,,সঁচয়ী|মিতব্যয়ী|বাদে|ব্যতিরেকে|সাশ্রয়কারী|লাঘবকারী|রক্ষা|মিতব্যয়|ত্রাণ|উদ্ধার|মোক্ষ|প্রতিরোধ|সঁচয়|সঁচিত বস্তু,rescue|come to someone's rescue|save someone's life|set free|free|liberate|deliver|extricate|bail out|save someone's bacon/neck/skin|redeeming|redemptive|reduction|cut|decrease|economy,,"All this means that eliminating tuition is a real financial possibility, given the <b>saving</b> in administration and financial assistance that would result.|Special <b>savings</b> apply to protect chemists and dentists from this prohibition."
সঁচয় উপায়,saver,সঁচয় উপায়,,ˈsāvər,Sam̐caẏa upāẏa,,ক্রিয়া-সংক্রান্ত বিভিন্ন অর্থে|সঁচয় উপায়|মিতব্যয়ের উপায়,recoverer|rescuer,,"Thankfully, we have been, and still are, regular <b>savers</b> .|Banks lure in <b>savers</b> with headline-grabbing rates and then quietly cut rates once demand slackens off."
রক্ষা,save,রক্ষা,,sāv,Rakṣā,,মোক্ষ করা|মোক্ষদান করা|ত্রাণ করা|পরিত্রাণ করা|লোকসান বাঁচান|খরচ বাঁচান|ঠেকান|জমান|টাকা আদায় করা|সঁচয় করা|রক্ষা করা|বাঁচানো|ব্যতিরেকে|বাদে|রক্ষা,rescue|come to someone's rescue|save someone's life|set free|free|liberate|deliver|extricate|bail out|save someone's bacon/neck/skin|except|apart from|but|other than|besides|aside from|bar|barring|excluding|leaving out|saving|outside of,,an efficient dishwasher would <b>save</b> them one year and three months at the sink|He made no sound <b>save</b> a slight hissing intake of breath.
অসভ্যতা,savagery,অসভ্যতা,,ˈsavijrē,Asabhyatā,,অসভ্যতা,brutality|barbarity|barbarism,,she was treated with particular <b>savagery</b> by cartoonists|a crime of the utmost <b>savagery</b>
বর্বরভাবে,savagely,বর্বরভাবে,,,Barbarabhābē,,,brutally|viciously,,
অসভ্য,savage,অসভ্য,,ˈsavij,Asabhya,"uncivilised, impolite
সমার্থক শব্দ: অভদ্র",আদিম|বর্বর|অসভ্য মানুষ|অসভ্য ব্যক্তি|হিংস্র পুরূষ|নিষ্ঠুর ব্যক্তি|অমার্জিত ব্যক্তি|অসভ্য|হিংস্র|বন্য|প্রচণ্ড|অতি ক্রুদ্ধ|বুনো,maul|attack|tear to pieces|lacerate|claw|bite|barbarian|wild man|wild woman|primitive|ferocious|fierce|wild|untamed|untamable|undomesticated|feral,,"The company has announced a <b>savage</b> price cut of its videogame system.|The company's near demise paralleled the <b>savage</b> downturn in market demand, aggravated by an unsupportable overhead structure."
sauteed,sauteed,sauteed,,,Sauteed,,সাঁতলান,saute,,
সাঁতলান,saute,সাঁতলান,,,Sām̐talāna,,সাঁতলানোর ক্রিয়া|সাঁতলান,sauteed,,
সসেজ,sausage,সসেজ,,ˈsôsij,Sasēja,,সসেজ|সসাজ্,blimp|sausage balloon,,"They come with a spicy dipping sauce and rounds of thinly sliced liverwurst-style <b>sausage</b> .|Mortadella originated in Bologna, and is made with ground heat-cured pork <b>sausage</b> with lard pieces, then flavored with garlic and anise seed."
অলস গতি,saunter,অলস গতি,,ˈsôntər,Alasa gati,,অলসভাবে বা উদ্দেশ্যহীনভাবে ঘুরে বেড়ানো|অলস গতি,stroll|amble|wander|meander|drift|walk|stretch one's legs|take the air|mosey|tootle|promenade|perambulation,,"It creates a world of cheerful <b>saunterers</b> along small bridges and crosswalks, and outdoor cafe couples with their glasses chiming.|People are generally happier after a light <b>saunter</b> , as well."
স্টীম বাথ,sauna,স্টীম বাথ,,"ˈsou-,ˈsônə",Sṭīma bātha,,,,,"A private on-site leisure complex, due to open in the next few months, will contain a fully equipped gym and swimming pool as well as a jacuzzi, <b>sauna</b> and steam room.|There is now an expanded spa, with four treatment rooms, indoor and outdoor heated pools, gym, <b>saunas</b> and steam rooms."
দুর্বিনীত,saucy,দুর্বিনীত,,ˈsôsē,Durbinīta,,উদ্ধত|ছিমছাম|দুর্বিনীত|ঢিট|ডেকরা|ঠেঁটা|ধৃষ্ট|ফিটফাট|ডেঁপো,cheeky|impudent|impertinent|irreverent|forward|disrespectful|bold|as bold as brass|brazen|pert|fresh|lippy|mouthy|sassy,,"There are also Antony, the pleasant young English painter who owns the castle, and Costanza, the jolly Italian housekeeper, old but wonderfully spry and <b>saucy</b> .|Thomas and Rogers had hit upon a winning formula which satisfied the peculiar British liking for lavatorial humour, men in drag, and innuendo, in the tradition of music hall and the <b>saucy</b> picture postcard."
ডিশ্,saucer,ডিশ্,,ˈsôsər,Ḍiś,,ডিশ্|পিরিচ|পিরিচাকার বস্তু,disc|disk,,"The cups were so big you could drown in them, and they were sitting in <b>saucers</b> practically the size of dinner plates.|The table before him was full of pretty cups and <b>saucers</b> and flowers."
কড়া,saucepan,কড়া,,ˈsôsˌpan,Kaṛā,,কড়া|সস প্যান,pan|pot|casserole|skillet|stockpot|stewpot|Dutch oven|double boiler,,"Strain the cooking juices into a <b>saucepan</b> and boil to reduce by half.|I can't end without mentioning the yoghurt - a wonderful fresh <b>saucepanful</b> , made every morning, to which we helped ourselves and then topped perhaps with wild strawberry jam or another variety of honey."
সস,sauce,সস,,sôs,Sasa,স্বাদবৃদ্ধির জন্য কোনো কোনো খাবারের সঙ্গে পরিবেশিত মুখরোচক টকস্বাদ চাটনিবিশেষ।,টক|আচার|চাট্নি|রূচিবর্ধক বস্তু|মেশান|মাখান|রূচিবর্ধক করা|মনোরম করা|উদ্ধত আচরণ করা|ধৃষ্ট আচরণ করা|উদ্ধত আচরণ হত্তয়া|ধৃষ্ট আচরণ হত্তয়া|সস,gravy|relish|salsa|condiment|ketchup|dip|dressing,,"After adding Italian seasoning, I have homemade spaghetti <b>sauce</b> containing at least two servings of vegetables.|Early the next morning, the dough is <b>sauced</b> , cheese is added, and it is baked for 15 to 20 minutes at 430 degrees in a revolving shelf oven."
শনি,Saturn,শনি,,ˈsatərn,Śani,,শনিগ্রহ|শনি,,,
শনিবার,Saturday,শনিবার,,"-dē,ˈsatərˌdā",Śanibāra,,শনিবার,,,On <b>Saturday</b> he conscientiously completed his paperwork and reported to his superiors.|Most people did not know what Cameron's grades were or even what he did on <b>Saturday</b> nights.
সংপৃক্তি,saturation,সংপৃক্তি,,ˌsaCHəˈrāSHən,Sampr̥kti,,পরিপৃক্তি|সংপৃক্তি|সম্পৃক্তি|পরিপৃত্তি,chroma|intensity|vividness,,"His oxygen <b>saturation</b> was 98 per-cent as measured by pulse oximetry, and his peak flows were only mildly reduced from his baseline.|However, by the late 1970s a natural <b>saturation</b> set in."
সুসিক্ত করা,saturate,সুসিক্ত করা,,,Susikta karā,,সুসিক্ত করা|পরিপূর্ণ করা|পরিপৃক্ত করা|সংপৃক্ত করা|পরিপূরণ করা,soak|drench|waterlog|wet through|souse|steep|douse,,"What's worse, agribusiness is <b>saturating</b> the media with misleading reports of the purported ecological risks of organic and other environmentally sustainable agricultural practices.|Do you then <b>saturate</b> yourself in source materials and then write, or do you have the materials out in front of you when you're writing?"
সন্তোষজনক,satisfying,সন্তোষজনক,,ˈsatisˌfī-iNG,Santōṣajanaka,,চরিতার্থ করা|পরিতৃপ্ত করা|পরিতুষ্ট করা|সন্তুষ্ট করা|পুরাপুরি দেত্তয়া|যথেষ্ট দেত্তয়া|খুশি করা|সন্দেহমুক্ত করান|জুড়ান|মিটান|পর্যাপ্ত হত্তয়া|যথেষ্ট হত্তয়া,solid|substantial|square|hearty|fulfill|gratify|meet|fill|indulge|cater to|pander to|appease|assuage|quench|slake|satiate|sate|take the edge off,,"Ward knelt and flicked the latches on his guitar case with two <b>satisfying</b> clicks.|Fluffy, creamy and brimming with shrimp flavour, it's one of those <b>satisfying</b> crowd-pleasers."
পরিতৃপ্ত করা,satisfy,পরিতৃপ্ত করা,,ˈsatisˌfī,Paritr̥pta karā,,আনন্দ দেওয়া|চরিতার্থ করা|পরিতৃপ্ত করা|পরিতুষ্ট করা|সন্তুষ্ট করা|পুরাপুরি দেত্তয়া|যথেষ্ট দেত্তয়া|খুশি করা|সন্দেহমুক্ত করান|জুড়ান|মিটান|পর্যাপ্ত হত্তয়া|যথেষ্ট হত্তয়া,fulfill|gratify|meet|fill|indulge|cater to|pander to|appease|assuage|quench|slake|satiate|sate|take the edge off,,The case itself involved a claim by the executor of an estate to retain part of a legacy due to a legatee sufficient to <b>satisfy</b> a debt due by the legatee to the estate.|Financial engineering provides the capability to craft any type of security or any instrument to <b>satisfy</b> the demand of would be speculators or investors.
সন্তুষ্ট,satisfied,সন্তুষ্ট,,ˈsatisˌfīd,Santuṣṭa,,সন্তুষ্ট|পরিতৃপ্ত|তৃপ্ত|পরিতুষ্ট|পূর্ণপরিতৃপ্ত|চরিতার্থ|সুখী|জুড়ান,fulfill|gratify|meet|fill|indulge|cater to|pander to|appease|assuage|quench|slake|satiate|sate|take the edge off|pleased|well pleased|content|contented|happy|proud|triumphant|smug|self-satisfied|pleased with oneself|complacent,,"Many companies regard <b>satisfied</b> customers as their best form of advertising.|Patrick gave me a <b>satisfied</b> nod, and then changed the subject of our conversation."
সন্তোষজনক,satisfactory,সন্তোষজনক,,ˌsatisˈfakt(ə)rē,Santōṣajanaka,,পরিতোষপূর্ণ|পরিতৃপ্তিকির|সন্তোষজনক|প্রত্যয়ুত্পাদক|কামদ|পরিতোষজনক,"adequate|all right|acceptable|good enough|sufficient|reasonable|quite good|competent|fair|decent|average|passable|fine|in order|up to scratch|up to the mark|up to standard|up to par|OK|jake|hunky-dory|so-so|'comme ci, comme ça'",,I trust that this will be <b>satisfactory</b> evidence of my paternal relationship with Julian and look forward to a favourable reply from your department.|he's in a <b>satisfactory</b> condition in hospital
সন্তোষজনকভাবে,satisfactorily,সন্তোষজনকভাবে,,,Santōṣajanakabhābē,,,,,
সন্তোষ,satisfaction,সন্তোষ,,ˌsatisˈfakSHən,Santōṣa,,পরিতৃপ্তি|তৃপ্তি|তুষ্টি|সন্তোষ|পরিতুষ্টি|পরিতোষ|ধৃতি|প্রতিবিধান|প্রত্যয়|ক্ষতিপূরণ,contentment|pleasure|gratification|fulfillment|enjoyment|happiness|pride|smugness|self-satisfaction|complacency,,I demand the <b>satisfaction</b> of a gentleman|The victim or those related to the victim should get <b>satisfaction</b> .
satirize,satirize,satirize,,ˈsatəˌrīz,Satirize,,,mock|ridicule|deride|make fun of|poke fun at|parody|lampoon|burlesque|caricature|take off|criticize|send up,,"This acid comedy <b>satirizes</b> the romantic travails of artsy twenty-somethings.|The play tears a strip off beauty pageants, <b>satirizing</b> their supermodel-thin take on what qualifies as beauty."
বিদ্রুপাত্মক সহিত্য-রচয়িতা,satirist,বিদ্রুপাত্মক সহিত্যরচয়িতা,,,Bidrupātmaka sahitya-racaẏitā,,বিদ্রুপাত্মক সহিত্য-রচয়িতা|ব্যঙ্গ- রচয়িতা,ridiculer|ironist,,
satirically,satirically,satirically,,,Satirically,,,,,
বিদ্রুপাত্মক,satirical,বিদ্রুপাত্মক,,səˈti(ə)rikəl,Bidrupātmaka,,বিদ্রুপাত্মক|বিদ্রূপাত্মক|বিদ্রুপপূর্ণ|নিন্দাপূর্ণ,mocking|ironic|ironical|satiric|sarcastic|sardonic|caustic|trenchant|mordant|biting|cutting|stinging|acerbic|critical|irreverent|disparaging|disrespectful,,"While <b>satirical</b> and amusing, the film appears to suffer a lack of energy, which would give it a much, needed edge.|I'm thinking of becoming a book reviewer or a <b>satirical</b> writer, or maybe a sociological analyst or an entertainment specialist."
বিদ্রুপ,satire,বিদ্রুপ,,ˈsaˌtīr,Bidrupa,"শ্লেষমিশ্রিত উপহাস, ঠাট্টা, ব্যঙ্গ।",ব্যঙ্গধর্মী রচনা|বিদ্রুপ|বিদ্রুপপূর্ণ নিন্দা,parody|burlesque|caricature|lampoon|skit|spoof|takeoff|sendup,,"The first season of the local political <b>satire</b> didn't live up to its promise, but it's worth persevering with and an expanded cast and new writers are promised for this new season.|But Fielding, as astute an observer of social class as Austen, was actually writing <b>satire</b> ."
satiny,satiny,satiny,,,Satiny,,,smooth|shiny|glossy|shining|gleaming|lustrous|sleek|silky,,
সাটিন,satin,সাটিন,,ˈsatn,Sāṭina,,সাটিন|শাটিন|সাটিন-কাপড়,,,"She is wearing overalls, which is quite different than the fancy blue <b>satin</b> dress the town last saw her in.|I was wearing a <b>satin</b> , sky blue dress that shimmered with every move that I made, and my hair had been pulled up into a mass of loose curls."
স্যাটেলাইট টেলিভিশন,satellite television,স্যাটেলাইট টেলিভিশন,,,Syāṭēlā'iṭa ṭēlibhiśana,,,,,"Cinema, <b>satellite television</b> , spectator sports, and the internet have spread a common culture; English has become the standard language of the global community.|This is a fallacy that has surfaced with each technological step in media - from <b>satellite television</b> to web blogs."
উপগ্রহ,satellite,উপগ্রহ,,ˈsatlˌīt,Upagraha,,কৃত্রিম উপগ্রহ|উপগ্রহ|মুখাপেক্ষী ব্যক্তি|কিছুর ক্ষুদ্রতর সঙ্গী,dependent|subordinate|subsidiary|space station|space capsule|spacecraft|communications satellite|weather satellite,,"This means there are now three ways to access the BBC's services: <b>satellite</b> , cable and Freeview.|with good motorway and rail links, <b>satellite</b> towns like Thornbury have grown rapidly"
Satanism,satanism,Satanism,,ˈsātnˌizəm,Satanism,,,demonism|diabolism,,"A motive for the killing has not been established but a slogan sprayed on a fridge in the kitchen has led police to speculate that <b>satanism</b> may have been involved.|Unfortunately, the group's dalliance with <b>satanism</b> proved to be their undoing, the proverbial straw that broke the camel's back."
শয়তানি বুদ্ধি,satanic,শয়তানি বুদ্ধি,,"sāˈ-,səˈtanik",Śaẏatāni bud'dhi,,শয়তানোচিত,diabolical|fiendish|devilish|demonic|demoniacal|ungodly|hellish|infernal|wicked|evil|sinful|iniquitous|nefarious|vile|foul|abominable|unspeakable|loathsome|monstrous|heinous|hideous|horrible|horrifying|shocking|appalling|dreadful|awful|terrible|ghastly|abhorrent|despicable|damnable,,"The girl I was talking about was initiated into a <b>satanic</b> cult - they use all sorts of methods to hold you in and that's why it's so difficult to have a successful exorcism.|Making his screen debut, Daniel stars in the film as a newspaper reporter who attempts to track down a <b>satanic</b> conspiracy, only to get caught up in a black mass."
শয়তান,Satan,শয়তান,,ˈsātn,Śaẏatāna,devil,ঈশ্বর-বৈরী শয়তাম|শয়তান|মার,lucifer|prince of darkness|old nick|devil|the tempter,,
শিনবার,Sat.,শিনবার,,,Śinabāra,,,,,
স্যাট,sat,স্যাট,,,Syāṭa,,,,,
স্যাট,SAT,স্যাট,,ˈes ˌā ˈtē,Syāṭa,,,,,
sassy,sassy,sassy,,ˈsasē,Sassy,,,fresh|wise|impertinent|saucy|impudent|smart|overbold,,"She just flipped her long blonde curls <b>sassily</b> and flirted her ocean blue eyes, which were framed by long, mascaraed eyelashes.|Her vocals are alternately <b>sassy</b> , playful and scolding, though they always retain a composure that makes them more detached than outrightly emotional."
SASS,sass,SASS,,sas,SASS,,,backtalk|back talk|lip|mouth,,"Just remember women, stay safe, and don't <b>sass</b> your busy men!|Using her intelligence, <b>sass</b> and humour she's become living proof that the size of your bottom doesn't dictate your chances of success in life."
উত্তরীয়,sash,উত্তরীয়,,saSH,Uttarīẏa,,উত্তরীয়|উত্তরী|শাসি|পাগড়ির কাপড়|সাশি|নিচোল,belt|cummerbund|waistband|girdle|obi|cincture,,"A sinister looking retainer, dressed in a dark uniform with a blue <b>sash</b> and blue and white turban opened the rusty gate.|She'd been wearing a loose turquoise tunic, tied with a black <b>sash</b> at the waist and matching black leggings."
Sase,SASE,Sase,,,Sase,,,,,
তিক্ত,sardonic,তিক্ত,,särˈdänik,Tikta,"অপ্রীতিকর, কষ্টকর, দুঃখজনক (তিক্ত অভিজ্ঞতা",অবজ্ঞাসূচক|বিদ্রূপাত্মক|তিক্ত|ঘৃণাপূর্ণ|ব্যঙ্গপূর্ণ|অবজ্ঞা-মিশ্রিত ব্যঙ্গপূর্ণ,mocking|satirical|sarcastic|ironical|ironic|cynical|scornful|contemptuous|derisive|derisory|sneering|jeering|scathing|caustic|trenchant|cutting|sharp|acerbic,,"His latest book, After Britain, is a comparably <b>sardonic</b> performance.|The trio surprises a bit, with traces of a pawky Prokofieff <b>sardonicism</b> ."
সামুদ্রি পোনামাছবিশেষ,sardine,সামুদ্রি পোনামাছবিশেষ,,särˈdēn,Sāmudri pōnāmāchabiśēṣa,,সামুদ্রি পোনামাছবিশেষ|সার্ডিন মাছ,sardius|sard,,"These are the fatty acids in fish, like salmon, <b>sardines</b> , herring, mackerel.|After the first planting in the Sacramento, the California commissioners noted that, although there were no shad proper on the Pacific coast, native herring, <b>sardine</b> , and anchovy were of the same family."
sarcastically,sarcastically,sarcastically,,,Sarcastically,,,sardonically,,
তীব্র ব্যঙ্গপূর্ণ,sarcastic,তীব্র ব্যঙ্গপূর্ণ,,särˈkastik,Tībra byaṅgapūrṇa,,তীব্র ব্যঙ্গপূর্ণ,sardonic|ironic|ironical|derisive|snide|scornful|contemptuous|mocking|sneering|jeering|caustic|scathing|trenchant|cutting|biting|sharp|acerbic|smart-alecky,,"I was tired of holding a grudge that was only causing me to be bitter and <b>sarcastic</b> .|You've got to hand it to the man often referred to, both lovingly and <b>sarcastically</b> , as Quinninho."
বিদ্রূপ,sarcasm,বিদ্রূপ,,ˈsärˌkazəm,Bidrūpa,,ব্যঙ্গ|বিদ্রূপ|তীব্র ব্যঙ্গ|তীব্র বক্রোক্তি,derision|mockery|ridicule|scorn|sneering|scoffing|irony|cynicism,,"Witty <b>sarcasm</b> is fun, but back it up with something if you want it to be taken seriously.|Now is a time for cynics to drop their superior sneers, swap their <b>sarcasm</b> for a sleigh and listen to the Santa in their soul."
নীলকান্তমণি,sapphire,নীলকান্তমণি,,ˈsafˌī(ə)r,Nīlakāntamaṇi,,ইন্দ্রনীল মনি|নীলকান্তমণি|অসিতোপল|সাপফায়ার,azure|sky-blue|cerulean,,"He also heard a blue-throated <b>sapphire</b> (also called a blue-throated golden-tail), a relatively small hummingbird.|She wore a long, <b>sapphire</b> blue gown embroidered with silver."
অঙ্কুর,sapling,অঙ্কুর,,ˈsapliNG,Aṅkura,"কুঁড়ি, মুকুলিত হওয়া, বকুল সংক্রান্ত নির্দিষ্ট ভাব, অবস্থা বা প্রক্রিয়া।",অঙ্কুর|কচি চারাগাছ|চারাগাছ,,,"what god or mortal reared up so fair a <b>sapling</b>?|Now, as a mature garden, the trees, mere <b>saplings</b> when planted, are fully grown."
প্রাণরস,sap,প্রাণরস,,sap,Prāṇarasa,,উদ্ভিদের প্রাণরস|ভ্যাবাগঙ্গরাম|প্রাণরস শুষিয়া লত্তয়া|রস শুষিয়া লত্তয়া|প্রাণরস|রস|সার|প্রাণশক্তি|সরস কাষ্ঠ|কোমল কাষ্ঠ|হাবাগবা লোক|গোবরগণেশ|বোকা লোক,erode|wear away/down|deplete|reduce|lessen|attenuate|undermine|exhaust|drain|bleed|juice|secretion|fluid|liquid,,"The forest quickly engulfed them but the normal freshness of flowers, <b>sap</b> , and growing plants were void in such a place.|He fell for it! What a <b>sap</b>!"
স্যান্টাক্লজ,Santa Claus,স্যান্টাক্লজ,,,Syānṭāklaja,,স্যান্টাক্লজ,,,
সান্তা,Santa,সান্তা,,,Sāntā,,,,,
sank,sank,sank,,,Sank,,ডুবা|পদাবনত করান|অস্তে পাঠান|বুড়া|জলমগ্ন হত্তয়া|বসিয়া যাত্তয়া|ডোবান|নিচু হত্তয়া|নিচু করা|প্রশমিত হত্তয়া|প্রশমিত করা|পদাবনত হত্তয়া|অবনতি প্রাপ্ত হত্তয়া|অবনতি ঘটান|ভিতরে ঢোকা|ভিতরে ঢোকান|অস্তে যাত্তয়া|ঢালু হইয়া যাত্তয়া|ঢালু দাবিয়া যাত্তয়া|ধ্বংসপ্রাপ্ত হত্তয়া|বিগতপ্রাণ হত্তয়া|খনন করা|বিনিয়োগ করা|ডোবা|ছাড়া,become submerged|be engulfed|go down|drop|fall|descend,,
সদ্বিবেচনা,sanity,সদ্বিবেচনা,,ˈsanitē,Sadbibēcanā,,মানসিক সুস্থতা|সদ্বিবেচনা|মতিস্থিরতা|প্রকৃতিস্থতা,mental health|faculties|reason|rationality|saneness|stability|lucidity|sense|wits|mind,,"There are people in there who, by some miracle, have regained their <b>sanity</b> .|I would have doubted my own <b>sanity</b> at this point, if I were the doubting type."
sanitize,sanitize,sanitize,,ˈsaniˌtīz,Sanitize,,,sterilize|disinfect|clean|cleanse|purify|fumigate|decontaminate,,"Wiping cloths must be <b>sanitized</b> in sanitizing solution (1 tsp bleach / 2 litres of water) when not in use.|Stainless steel tanks can be easily cleaned and <b>sanitized</b> ; hard floors are designed to drain dry; and all equipment is sited and mounted so that it can be cleaned thoroughly around, above, and below the unit."
স্বাস্থ্যব্যবস্থা,sanitation,স্বাস্থ্যব্যবস্থা,,ˌsaniˈtāSHən,Sbāsthyabyabasthā,,জঞ্জাল সাফাই|স্বাস্থ্যব্যবস্থা|স্বাস্থ্যবিধান,sanitisation|sanitization,,A total of 2.4 billion people currently lack adequate <b>sanitation</b> facilities.|The United Nations estimates that 1.1 billion people have no access to fresh water and 2.4 billion lack access to adequate <b>sanitation</b> .
স্যানিটারি ন্যাপকিন,sanitary napkin,স্যানিটারি ন্যাপকিন,,,Syāniṭāri n'yāpakina,,মাসিকের সময় ব্যবহৃত প্যাড,sanitary towel,,
স্বাস্থ্যের পক্ষে উপকারী,sanitary,স্বাস্থ্যের পক্ষে উপকারী,,ˈsaniˌterē,Sbāsthyēra pakṣē upakārī,,জঞ্জাল|মলমূত্র|স্বাস্থ্যবর্ধক|স্বাস্থ্যের পক্ষে উপকারী,hygienic|clean|antiseptic|aseptic|sterile|uninfected|disinfected|unpolluted|uncontaminated|salubrious|healthy|wholesome,,"Future plans involve the renovation of dormitory toilets by installing showers, drying facilities and new <b>sanitary</b> equipment.|‘The people are being supplied with safe drinking water and proper <b>sanitary</b> facilities,’ he said."
sang,sang,sang,,,Sang,,গাত্তয়া|গাহা|প্রচারিত করা|কাব্যরচনা করা|গান গাত্তয়া|গুঁজন করা|কবিতা লেখা,croon|carol|trill|chant|intone|chorus|belt out,,
বিবেকী,sane,বিবেকী,,sān,Bibēkī,,সুস্থমস্তিষ্ক|বিবেকী|মানসিক|সদ্বিবেচক|প্রকৃতিস্থ|সুস্থতাবিশিষ্ট|স্থিরমস্তিষ্ক,of sound mind|in one's right mind|compos mentis|lucid|rational|balanced|stable|normal|all there|together,,The state had one expert and he never came out and actually testified that she was <b>sane</b> .|There was only person helping him keep his semblance of <b>saneness</b> .
বেলে,sandy,বেলে,,ˈsandē,Bēlē,,বালুকাবৃত|বালুময়|বালুকাময়|বেলে|বালিময়|বালিপূর্ণ|বালুকাবৎ|ঝুরা-ঝুরা|হরিদ্বর্ণ,flaxen,,"There is also a pleasant resort at Tsilvi, which has a long <b>sandy</b> beach with shallow water, making it ideal for people with young families.|Soils in this classification include fine sands, loamy sands and fine <b>sandy</b> loams."
